個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),90000,8.33,2330.TW
奇鋐(3017.TW),86000,8.08,3017.TW
台光電(2383.TW),34000,6.67,2383.TW
欣興(3037.TW),190000,6.56,3037.TW
旺矽(6223.TW),27000,6.5,6223.TW
聯發科(2454.TW),32000,4.77,2454.TW
貿聯-KY(3665.TW),50000,4.4,3665.TW
創意(3443.TW),24000,4.05,3443.TW
南亞科(2408.TW),240000,3.94,2408.TW
台燿(6274.TW),75000,3.86,6274.TW
南電(8046.TW),76000,3.6,8046.TW
亞翔(6139.TW),96000,3.17,6139.TW
全新(2455.TW),205000,2.72,2455.TW
健策(3653.TW),18000,2.57,3653.TW
智邦(2345.TW),28000,2.51,2345.TW
鴻勁(7769.TW),10000,2.49,7769.TW
雍智科技(6683.TW),52000,2.47,6683.TW
環球晶(6488.TW),55000,2.37,6488.TW
大量(3167.TW),88000,2.33,3167.TW
上詮(3363.TW),92729,2.1,3363.TW
雙鍵(4764.TW),171000,2.04,4764.TW
昇陽半導體(8028.TW),176000,2.04,8028.TW
金居(8358.TW),114000,1.78,8358.TW
同欣電(6271.TW),213000,1.64,6271.TW
竹陞科技(6739.TW),20000,0.92,6739.TW
聯亞(3081.TW),4800,0.34,3081.TW
信驊(5274.TW),300,0.18,5274.TW
