個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1034000,8.91,2330.TW
聯發科(2454.TW),470000,7.72,2454.TW
川湖(2059.TW),123000,5.37,2059.TW
旺矽(6223.TW),238000,4.81,6223.TW
奇鋐(3017.TW),377000,4.32,3017.TW
健策(3653.TW),221000,4.28,3653.TW
緯穎(6669.TW),510197,4.16,6669.TW
欣興(3037.TW),1209000,4.02,3037.TW
創意(3443.TW),190000,3.95,3443.TW
致茂(2360.TW),470000,3.71,2360.TW
台光電(2383.TW),175000,3.26,2383.TW
信驊(5274.TW),47400,3.18,5274.TW
環球晶(6488.TW),938000,3.12,6488.TW
萬潤(6187.TW),596000,2.88,6187.TW
台達電(2308.TW),446000,2.81,2308.TW
台燿(6274.TW),395000,1.85,6274.TW
健鼎(3044.TW),1034000,1.74,3044.TW
貿聯-KY(3665.TW),241000,1.63,3665.TW
富邦金(2881.TW),3104000,1.61,2881.TW
智邦(2345.TW),227000,1.55,2345.TW
元大金(2885.TW),6267040,1.54,2885.TW
南亞(1303.TW),1861000,1.52,1303.TW
金像電(2368.TW),378000,1.42,2368.TW
力旺(3529.TW),122000,1.2,3529.TW
禾伸堂(3026.TW),404000,1.05,3026.TW
文曄(3036.TW),1532000,1.01,3036.TW
聯電(2303.TW),2096000,1.0,2303.TW
日月光投控(3711.TW),464000,1.0,3711.TW
新代(7750.TW),122000,0.98,7750.TW
光聖(6442.TW),163000,0.96,6442.TW
京元電子(2449.TW),999000,0.94,2449.TW
大立光(3008.TW),40000,0.91,3008.TW
華通(2313.TW),1107336,0.89,2313.TW
鴻海(2317.TW),960000,0.84,2317.TW
聯亞(3081.TW),82000,0.82,3081.TW
廣達(2382.TW),664000,0.76,2382.TW
世界(5347.TW),1351000,0.72,5347.TW
華星光(4979.TW),293000,0.62,4979.TW
精材(3374.TW),340000,0.56,3374.TW
穎崴(6515.TW),21000,0.56,6515.TW
鴻勁(7769.TW),20000,0.49,7769.TW
大量(3167.TW),115000,0.38,3167.TW
崇越(5434.TW),200000,0.37,5434.TW
日電貿(3090.TW),592000,0.35,3090.TW
鈊象(3293.TW),133000,0.33,3293.TW
新普(6121.TW),178000,0.23,6121.TW
宏全(9939.TW),180000,0.08,9939.TW
