個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),90000,7.74,2330.TW
台光電(2383.TW),34000,7.74,2383.TW
欣興(3037.TW),190000,7.63,3037.TW
奇鋐(3017.TW),58000,6.55,3017.TW
創意(3443.TW),30000,6.29,3443.TW
旺矽(6223.TW),27000,5.61,6223.TW
聯發科(2454.TW),32000,4.64,2454.TW
南亞科(2408.TW),240000,4.51,2408.TW
台燿(6274.TW),75000,4.3,6274.TW
南電(8046.TW),91000,4.22,8046.TW
貿聯-KY(3665.TW),50000,3.83,3665.TW
聯亞(3081.TW),37800,3.78,3081.TW
富世達(6805.TW),52000,3.59,6805.TW
健策(3653.TW),18000,3.44,3653.TW
全新(2455.TW),205000,3.06,2455.TW
鴻勁(7769.TW),12000,2.9,7769.TW
雍智科技(6683.TW),52000,2.47,6683.TW
智邦(2345.TW),28000,2.3,2345.TW
上詮(3363.TW),92729,2.07,3363.TW
穎崴(6515.TW),8000,1.9,6515.TW
台達電(2308.TW),28000,1.89,2308.TW
竹陞科技(6739.TW),50000,1.84,6739.TW
金居(8358.TW),114000,1.71,8358.TW
高力(8996.TW),35000,1.52,8996.TW
萬潤(6187.TW),26000,1.29,6187.TW
信驊(5274.TW),300,0.18,5274.TW
