個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),308000,22.31,2330.TW
台股期貨09/26(FITXN*1.TF),61,16.9,FITXN*1.TF
聯發科(2454.TW),51500,6.09,2454.TW
日月光投控(3711.TW),196000,3.45,3711.TW
台光電(2383.TW),18000,2.97,2383.TW
聯電(2303.TW),722000,2.81,2303.TW
信驊(5274.TW),4840,2.34,5274.TW
廣達(2382.TW),223000,2.27,2382.TW
瑞昱(2379.TW),98000,2.13,2379.TW
元大金(2885.TW),1073960,2.12,2885.TW
聯詠(3034.TW),128000,2.08,3034.TW
台達電(2308.TW),36000,2.0,2308.TW
超豐(2441.TW),527000,1.83,2441.TW
遠東銀(2845.TW),4366000,1.78,2845.TW
亞翔(6139.TW),78000,1.77,6139.TW
帆宣(6196.TW),119000,1.74,6196.TW
川湖(2059.TW),4000,1.71,2059.TW
光寶科(2301.TW),184000,1.69,2301.TW
義隆(2458.TW),407000,1.66,2458.TW
材料*-KY(4763.TW),1175000,1.64,4763.TW
崇越(5434.TW),104000,1.61,5434.TW
大聯大(3702.TW),532000,1.6,3702.TW
凌航(3135.TW),288000,1.58,3135.TW
研華(2395.TW),76000,1.55,2395.TW
威剛(3260.TW),108000,1.35,3260.TW
欣銓(3264.TW),188000,1.29,3264.TW
興勤(2428.TW),156000,1.18,2428.TW
慧洋-KY(2637.TW),410000,1.16,2637.TW
奇鋐(3017.TW),11000,1.13,3017.TW
永豐金(2890.TW),828500,1.03,2890.TW
美律(2439.TW),426000,1.01,2439.TW
旺矽(6223.TW),6500,1.0,6223.TW
致新(8081.TW),114000,0.88,8081.TW
南亞(1303.TW),112000,0.82,1303.TW
智邦(2345.TW),12000,0.74,2345.TW
鴻海(2317.TW),95000,0.72,2317.TW
聯強(2347.TW),272000,0.71,2347.TW
欣興(3037.TW),23000,0.69,3037.TW
致茂(2360.TW),11000,0.65,2360.TW
台新新光金(2887.TW),562150,0.65,2887.TW
順德(2351.TW),81000,0.57,2351.TW
創意(3443.TW),3000,0.55,3443.TW
晶碩(6491.TW),46000,0.55,6491.TW
寶雅*(5904.TW),232000,0.52,5904.TW
鈊象(3293.TW),23000,0.51,3293.TW
遠傳(4904.TW),156000,0.47,4904.TW
大成鋼(2027.TW),307000,0.45,2027.TW
宇瞻(8271.TW),37000,0.25,8271.TW
洋基工程(6691.TW),12600,0.23,6691.TW
矽格(6257.TW),37000,0.23,6257.TW
矽創(8016.TW),23000,0.2,8016.TW
藥華藥(6446.TW),2000,0.08,6446.TW
中租-KY(5871.TW),10800,0.04,5871.TW
台指選擇權10/26 48800 買權,-56,-0.04,
台指選擇權09/26 47500 買權,-301,-0.11,
