個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),663000,9.63,2330.TW
聯發科(2454.TW),279000,5.94,2454.TW
台光電(2383.TW),152000,4.32,2383.TW
川湖(2059.TW),91000,4.28,2059.TW
台達電(2308.TW),404000,3.97,2308.TW
鴻勁(7769.TW),73000,2.7,7769.TW
欣興(3037.TW),563000,2.66,3037.TW
旺矽(6223.TW),76000,2.4,6223.TW
鴻海(2317.TW),1569000,2.36,2317.TW
聯亞(3081.TW),237600,2.32,3081.TW
南亞科(2408.TW),1039000,2.24,2408.TW
穎崴(6515.TW),55000,1.92,6515.TW
金像電(2368.TW),393000,1.87,2368.TW
智邦(2345.TW),147000,1.87,2345.TW
致茂(2360.TW),148000,1.86,2360.TW
奇鋐(3017.TW),134000,1.86,3017.TW
緯穎(6669.TW),47000,1.52,6669.TW
南亞(1303.TW),1535000,1.47,1303.TW
中信金(2891.TW),3711000,1.44,2891.TW
健策(3653.TW),69000,1.42,3653.TW
信驊(5274.TW),16300,1.42,5274.TW
技嘉(2376.TW),694000,1.4,2376.TW
創意(3443.TW),59000,1.35,3443.TW
文曄(3036.TW),1147000,1.35,3036.TW
寶雅(5904.TW),312450,1.35,5904.TW
日月光投控(3711.TW),400000,1.33,3711.TW
廣達(2382.TW),723000,1.26,2382.TW
台燿(6274.TW),187000,1.24,6274.TW
群聯(8299.TW),120000,1.18,8299.TW
鈊象(3293.TW),252000,1.17,3293.TW
南電(8046.TW),203000,1.12,8046.TW
緯創(3231.TW),1041000,1.1,3231.TW
國巨*(2327.TW),345000,1.04,2327.TW
玉山金(2884.TW),4362622,1.01,2884.TW
力旺(3529.TW),65000,0.96,3529.TW
高力(8996.TW),181000,0.93,8996.TW
華邦電(2344.TW),1153000,0.9,2344.TW
大立光(3008.TW),36000,0.87,3008.TW
勤誠(8210.TW),139000,0.87,8210.TW
臻鼎-KY(4958.TW),335000,0.83,4958.TW
聯茂(6213.TW),482000,0.76,6213.TW
景碩(3189.TW),185000,0.7,3189.TW
富世達(6805.TW),54000,0.44,6805.TW
貿聯-KY(3665.TW),32336,0.41,3665.TW
健鼎(3044.TW),164000,0.36,3044.TW
禾伸堂(3026.TW),134000,0.36,3026.TW
欣銓(3264.TW),316000,0.34,3264.TW
邁科(6831.TW),93000,0.29,6831.TW
光聖(6442.TW),38000,0.26,6442.TW
嘉澤(3533.TW),13000,0.14,3533.TW
