個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1406000,9.39,2330.TW
台光電(2383.TW),563000,7.36,2383.TW
奇鋐(3017.TW),1002000,6.41,3017.TW
川湖(2059.TW),293000,6.34,2059.TW
智邦(2345.TW),1080000,6.33,2345.TW
貿聯-KY(3665.TW),955000,5.53,3665.TW
旺矽(6223.TW),326000,4.74,6223.TW
大立光(3008.TW),420000,4.73,3008.TW
欣興(3037.TW),2097000,4.55,3037.TW
聯發科(2454.TW),406000,3.98,2454.TW
高力(8996.TW),1630000,3.84,8996.TW
萬潤(6187.TW),1220000,3.12,6187.TW
南俊國際(6584.TW),2231000,2.75,6584.TW
緯創(3231.TW),5662000,2.75,3231.TW
日月光投控(3711.TW),1629000,2.49,3711.TW
尖點(8021.TW),2501000,2.23,8021.TW
創意(3443.TW),211000,2.21,3443.TW
全新(2455.TW),2753000,2.21,2455.TW
世芯-KY(3661.TW),215000,1.81,3661.TW
群聯(8299.TW),366000,1.66,8299.TW
緯穎(6669.TW),77000,1.14,6669.TW
禾伸堂(3026.TW),821000,1.06,3026.TW
竑騰(7751.TW),310000,1.05,7751.TW
環球晶(6488.TW),394000,0.93,6488.TW
景碩(3189.TW),440013,0.77,3189.TW
穎崴(6515.TW),42000,0.67,6515.TW
印能科技(7734.TW),56000,0.52,7734.TW
亞翔(6139.TW),250000,0.49,6139.TW
富世達(6805.TW),109000,0.41,6805.TW
威剛(3260.TW),358000,0.41,3260.TW
旺宏(2337.TW),1343000,0.37,2337.TW
宜鼎(5289.TW),98000,0.35,5289.TW
辛耘(3583.TW),147000,0.26,3583.TW
上詮(3363.TW),200000,0.26,3363.TW
欣銓(3264.TW),72000,0.04,3264.TW
昇達科(3491.TW),1000,0.0,3491.TW
