個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),279000,5.78,2330.TW
大聯大(3702.TW),5267000,4.59,3702.TW
台光電(2383.TW),89000,4.2,2383.TW
川湖(2059.TW),32000,3.94,2059.TW
健策(3653.TW),77000,3.73,3653.TW
聯發科(2454.TW),96000,3.19,2454.TW
超豐(2441.TW),2890000,2.83,2441.TW
鴻勁(7769.TW),50000,2.72,7769.TW
神達(3706.TW),3428000,2.69,3706.TW
台達電(2308.TW),175000,2.66,2308.TW
聯亞(3081.TW),84700,2.45,3081.TW
緯穎(6669.TW),40000,2.34,6669.TW
欣興(3037.TW),227000,2.3,3037.TW
南亞科(2408.TW),479000,2.23,2408.TW
華碩(2357.TW),238000,1.98,2357.TW
金像電(2368.TW),219000,1.94,2368.TW
兆豐金(2886.TW),4616000,1.83,2886.TW
智邦(2345.TW),101000,1.81,2345.TW
裕融(9941.TW),2371000,1.77,9941.TW
旺矽(6223.TW),40000,1.75,6223.TW
穎崴(6515.TW),33000,1.73,6515.TW
廣達(2382.TW),598500,1.71,2382.TW
奇鋐(3017.TW),56000,1.61,3017.TW
長虹(5534.TW),2382000,1.55,5534.TW
第一金(2892.TW),5374000,1.54,2892.TW
台新新光金(2887.TW),4752360,1.52,2887.TW
研華(2395.TW),251000,1.46,2395.TW
禾伸堂(3026.TW),246000,1.43,3026.TW
元大金(2885.TW),2615040,1.42,2885.TW
華南金(2880.TW),4069388,1.38,2880.TW
富世達(6805.TW),68000,1.3,6805.TW
致茂(2360.TW),70000,1.2,2360.TW
信驊(5274.TW),9000,1.18,5274.TW
億光(2393.TW),2056000,1.17,2393.TW
貿聯-KY(3665.TW),65000,1.15,3665.TW
永豐金(2890.TW),3202780,1.08,2890.TW
玉山金(2884.TW),3184000,1.05,2884.TW
王品(2727.TW),524000,1.05,2727.TW
創見(2451.TW),393000,1.01,2451.TW
台耀(4746.TW),2276000,0.97,4746.TW
高技(5439.TW),428000,0.96,5439.TW
大立光(3008.TW),16000,0.95,3008.TW
台燿(6274.TW),75000,0.93,6274.TW
鈊象(3293.TW),144000,0.87,3293.TW
崇越(5434.TW),160000,0.73,5434.TW
茂達(6138.TW),284000,0.72,6138.TW
寶雅*(5904.TW),1077000,0.69,5904.TW
勤誠(8210.TW),78000,0.64,8210.TW
原相(3227.TW),361000,0.61,3227.TW
大中(6435.TW),260000,0.59,6435.TW
遠傳(4904.TW),650000,0.57,4904.TW
宏全(9939.TW),496000,0.57,9939.TW
世紀鋼(9958.TW),685000,0.55,9958.TW
日電貿(3090.TW),363000,0.53,3090.TW
新普(6121.TW),146000,0.51,6121.TW
智伸科(4551.TW),313000,0.46,4551.TW
潤泰新(9945.TW),1665000,0.41,9945.TW
長榮航(2618.TW),956000,0.35,2618.TW
日月光投控(3711.TW),39000,0.2,3711.TW
