個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),991000,8.91,2330.TW
台光電(2383.TW),269000,5.64,2383.TW
欣興(3037.TW),1310000,5.37,3037.TW
緯穎(6669.TW),205000,4.94,6669.TW
奇鋐(3017.TW),424000,4.68,3017.TW
聯發科(2454.TW),321000,4.49,2454.TW
川湖(2059.TW),70000,3.74,2059.TW
台達電(2308.TW),570000,3.65,2308.TW
台燿(6274.TW),643000,3.58,6274.TW
創意(3443.TW),163000,3.4,3443.TW
旺矽(6223.TW),157000,3.29,6223.TW
智邦(2345.TW),366000,2.78,2345.TW
南電(8046.TW),620000,2.69,8046.TW
日月光投控(3711.TW),1138000,2.52,3711.TW
富世達(6805.TW),341000,2.36,6805.TW
國巨*(2327.TW),1070000,2.18,2327.TW
南亞科(2408.TW),1076000,2.05,2408.TW
研華(2395.TW),811000,2.03,2395.TW
信驊(5274.TW),34900,2.01,5274.TW
貿聯-KY(3665.TW),257000,2.0,3665.TW
致茂(2360.TW),267000,1.96,2360.TW
金像電(2368.TW),538000,1.96,2368.TW
健策(3653.TW),98000,1.91,3653.TW
臻鼎-KY(4958.TW),1028000,1.71,4958.TW
聯電(2303.TW),3366000,1.58,2303.TW
穎崴(6515.TW),59000,1.38,6515.TW
藥華藥(6446.TW),201191,1.12,6446.TW
光寶科(2301.TW),987000,1.09,2301.TW
聯亞(3081.TW),90000,1.0,3081.TW
萬潤(6187.TW),200000,0.95,6187.TW
勤誠(8210.TW),258000,0.93,8210.TW
力旺(3529.TW),113000,0.93,3529.TW
萬海(2615.TW),1611000,0.76,2615.TW
聯詠(3034.TW),361000,0.75,3034.TW
高力(8996.TW),161000,0.73,8996.TW
大立光(3008.TW),31000,0.66,3008.TW
南亞(1303.TW),830000,0.59,1303.TW
鈊象(3293.TW),205000,0.55,3293.TW
中砂(1560.TW),186000,0.47,1560.TW
昇達科(3491.TW),92000,0.44,3491.TW
宜鼎(5289.TW),65000,0.37,5289.TW
創見(2451.TW),301000,0.34,2451.TW
群聯(8299.TW),41000,0.32,8299.TW
威剛(3260.TW),200000,0.31,3260.TW
愛普*(6531.TW),92000,0.3,6531.TW
瑞昱(2379.TW),82000,0.22,2379.TW
崇越(5434.TW),99000,0.19,5434.TW
華邦電(2344.TW),203000,0.14,2344.TW
亞德客-KY(1590.TW),14000,0.08,1590.TW
中華電(2412.TW),77000,0.04,2412.TW
