個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),12680000,18.45,2330.TW
聯電(2303.TW),76000000,5.52,2303.TW
奇鋐(3017.TW),3450000,4.8,3017.TW
台光電(2383.TW),1405000,4.0,2383.TW
聯發科(2454.TW),1795000,3.83,2454.TW
欣興(3037.TW),7600000,3.59,3037.TW
旺矽(6223.TW),1000000,3.17,6223.TW
華邦電(2344.TW),40000000,3.12,2344.TW
台達電(2308.TW),3040000,2.99,2308.TW
智邦(2345.TW),2290000,2.92,2345.TW
日月光投控(3711.TW),6400000,2.13,3711.TW
健策(3653.TW),990000,2.05,3653.TW
緯穎(6669.TW),600000,1.94,6669.TW
國巨*(2327.TW),6000000,1.81,2327.TW
臻鼎-KY(4958.TW),6154000,1.53,4958.TW
嘉澤(3533.TW),1240000,1.38,3533.TW
信驊(5274.TW),144500,1.26,5274.TW
環球晶(6488.TW),2411000,1.24,6488.TW
景碩(3189.TW),3217000,1.23,3189.TW
創意(3443.TW),510000,1.16,3443.TW
致茂(2360.TW),897000,1.13,2360.TW
台燿(6274.TW),1680000,1.12,6274.TW
貿聯-KY(3665.TW),880000,1.11,3665.TW
鴻勁(7769.TW),300000,1.11,7769.TW
南電(8046.TW),1750000,0.97,8046.TW
高力(8996.TW),1600000,0.82,8996.TW
富世達(6805.TW),700000,0.57,6805.TW
鴻海(2317.TW),3200000,0.48,2317.TW
旺宏(2337.TW),7498000,0.45,2337.TW
南亞(1303.TW),4587000,0.44,1303.TW
中砂(1560.TW),1113000,0.43,1560.TW
力成(6239.TW),3026000,0.43,6239.TW
辛耘(3583.TW),900000,0.35,3583.TW
順達(3211.TW),2000000,0.35,3211.TW
大立光(3008.TW),140000,0.34,3008.TW
譜瑞-KY(4966.TW),800000,0.27,4966.TW
金居(8358.TW),1312000,0.23,8358.TW
穎崴(6515.TW),59000,0.21,6515.TW
上銀(2049.TW),1010000,0.18,2049.TW
光聖(6442.TW),225000,0.16,6442.TW
矽力*-KY(6415.TW),624000,0.15,6415.TW
漢唐(2404.TW),220000,0.15,2404.TW
欣銓(3264.TW),700000,0.07,3264.TW
聯鈞(3450.TW),300000,0.07,3450.TW
全新(2455.TW),336000,0.06,2455.TW
強茂(2481.TW),869000,0.06,2481.TW
啟碁(6285.TW),250000,0.03,6285.TW
長興(1717.TW),200000,0.01,1717.TW
