個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),251000,18.18,2330.TW
聯發科(2454.TW),48600,6.6,2454.TW
台達電(2308.TW),58000,3.06,2308.TW
大立光(3008.TW),12588,2.54,3008.TW
全新(2455.TW),159000,2.49,2455.TW
廣達(2382.TW),224000,2.25,2382.TW
緯穎(6669.TW),30803,2.1,6669.TW
信驊(5274.TW),3808,2.08,5274.TW
欣興(3037.TW),71000,2.07,3037.TW
創新服務(7828.TW),33000,2.02,7828.TW
日月光投控(3711.TW),105000,1.97,3711.TW
富邦金(2881.TW),457000,1.97,2881.TW
智邦(2345.TW),33053,1.96,2345.TW
玉山金(2884.TW),1475000,1.92,2884.TW
華碩(2357.TW),65000,1.87,2357.TW
致茂(2360.TW),27000,1.85,2360.TW
臻鼎-KY(4958.TW),124000,1.83,4958.TW
鴻勁(7769.TW),9217,1.82,7769.TW
旺矽(6223.TW),10674,1.76,6223.TW
聯電(2303.TW),412000,1.71,2303.TW
昇達科(3491.TW),40000,1.71,3491.TW
台光電(2383.TW),10300,1.63,2383.TW
華通(2313.TW),241356,1.62,2313.TW
凱基金(2883.TW),1501000,1.62,2883.TW
中信金(2891.TW),769000,1.5,2891.TW
兆豐金(2886.TW),924000,1.37,2886.TW
啟碁(6285.TW),196000,1.34,6285.TW
世界(5347.TW),267000,1.23,5347.TW
愛普*(6531.TW),41000,1.2,6531.TW
穎崴(6515.TW),5313,1.14,6515.TW
台新新光金(2887.TW),889160,1.11,2887.TW
國泰金(2882.TW),322000,1.05,2882.TW
億豐(8464.TW),94000,1.04,8464.TW
環宇-KY(4991.TW),70000,1.03,4991.TW
川湖(2059.TW),2834,1.03,2059.TW
長榮(2603.TW),149000,1.02,2603.TW
瑞昱(2379.TW),49000,1.01,2379.TW
聚陽(1477.TW),154000,0.89,1477.TW
中華電(2412.TW),194000,0.8,2412.TW
精測(6510.TW),7467,0.79,6510.TW
弘塑(3131.TW),10330,0.78,3131.TW
遠傳(4904.TW),245000,0.75,4904.TW
緯創(3231.TW),134000,0.74,3231.TW
萬潤(6187.TW),18305,0.72,6187.TW
國巨*(2327.TW),38000,0.63,2327.TW
鴻海(2317.TW),79000,0.58,2317.TW
寶雅*(5904.TW),260000,0.56,5904.TW
和碩(4938.TW),114000,0.31,4938.TW
永豐金(2890.TW),229920,0.29,2890.TW
統一(1216.TW),124000,0.28,1216.TW
金像電(2368.TW),8700,0.28,2368.TW
統一超(2912.TW),40000,0.26,2912.TW
聯詠(3034.TW),13000,0.21,3034.TW
中租-KY(5871.TW),42920,0.14,5871.TW
台股期貨09/26(FITXN*1.TF),24,0.14,FITXN*1.TF
兆聯實業(6944.TW),4800,0.1,6944.TW
元大金(2885.TW),10040,0.02,2885.TW
臺指選擇權09/26 44500 買權,-320,-1.28,
