個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),292999,13.41,2330.TW
台光電(2383.TW),76001,9.05,2383.TW
欣興(3037.TW),334001,7.34,3037.TW
奇鋐(3017.TW),105500,6.14,3017.TW
川湖(2059.TW),21001,5.79,2059.TW
南電(8046.TW),236000,5.64,8046.TW
聯發科(2454.TW),67001,5.0,2454.TW
台燿(6274.TW),158000,4.68,6274.TW
旺矽(6223.TW),36901,3.73,6223.TW
智邦(2345.TW),79000,3.37,2345.TW
緯穎(6669.TW),26000,3.19,6669.TW
南亞科(2408.TW),314000,3.1,2408.TW
日月光投控(3711.TW),262002,3.01,3711.TW
台達電(2308.TW),74499,2.6,2308.TW
信驊(5274.TW),7920,2.59,5274.TW
致茂(2360.TW),53000,2.34,2360.TW
創意(3443.TW),19050,2.02,3443.TW
環球晶(6488.TW),76000,1.55,6488.TW
鴻勁(7769.TW),11000,1.38,7769.TW
健策(3653.TW),13000,1.28,3653.TW
聯電(2303.TW),430000,0.98,2303.TW
萬潤(6187.TW),39000,0.94,6187.TW
力成(6239.TW),175000,0.89,6239.TW
華邦電(2344.TW),250000,0.85,2344.TW
中美晶(5483.TW),230000,0.82,5483.TW
國巨*(2327.TW),56000,0.62,2327.TW
廣達(2382.TW),70000,0.44,2382.TW
富世達(6805.TW),10000,0.38,6805.TW
金像電(2368.TW),16000,0.33,2368.TW
高力(8996.TW),12000,0.27,8996.TW
強茂(2481.TW),90000,0.24,2481.TW
貿聯-KY(3665.TW),5000,0.21,3665.TW
緯創(3231.TW),51000,0.18,3231.TW
兆豐金(2886.TW),100000,0.09,2886.TW
聯亞(3081.TW),1000,0.06,3081.TW
京元電子(2449.TW),4000,0.02,2449.TW
漢唐(2404.TW),1000,0.02,2404.TW
鴻海(2317.TW),1000,0.0,2317.TW
