個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),663000,8.04,2330.TW
聯發科(2454.TW),279000,5.63,2454.TW
川湖(2059.TW),91000,5.52,2059.TW
台光電(2383.TW),152000,4.1,2383.TW
台達電(2308.TW),404000,3.74,2308.TW
聯亞(3081.TW),237600,3.07,3081.TW
欣興(3037.TW),563000,2.85,3037.TW
南亞科(2408.TW),1039000,2.66,2408.TW
旺矽(6223.TW),76000,2.41,6223.TW
鴻勁(7769.TW),73000,2.34,7769.TW
南亞(1303.TW),2416000,2.28,1303.TW
群聯(8299.TW),218000,2.27,8299.TW
鴻海(2317.TW),1569000,2.12,2317.TW
穎崴(6515.TW),55000,1.92,6515.TW
奇鋐(3017.TW),134000,1.89,3017.TW
金像電(2368.TW),393000,1.86,2368.TW
智邦(2345.TW),147000,1.62,2345.TW
緯穎(6669.TW),52000,1.59,6669.TW
廣達(2382.TW),987000,1.58,2382.TW
信驊(5274.TW),18300,1.54,5274.TW
致茂(2360.TW),148000,1.53,2360.TW
健策(3653.TW),69000,1.45,3653.TW
台燿(6274.TW),187000,1.39,6274.TW
創意(3443.TW),59000,1.36,3443.TW
文曄(3036.TW),1147000,1.34,3036.TW
日月光投控(3711.TW),400000,1.28,3711.TW
寶雅*(5904.TW),3124500,1.26,5904.TW
中信金(2891.TW),3711000,1.26,2891.TW
技嘉(2376.TW),694000,1.24,2376.TW
南電(8046.TW),203000,1.17,8046.TW
華邦電(2344.TW),1153000,1.06,2344.TW
聯茂(6213.TW),482000,1.05,6213.TW
鈊象(3293.TW),252000,1.02,3293.TW
緯創(3231.TW),1041000,1.02,3231.TW
國巨*(2327.TW),345000,1.01,2327.TW
高力(8996.TW),181000,0.99,8996.TW
力旺(3529.TW),65000,0.94,3529.TW
玉山金(2884.TW),4362622,0.84,2884.TW
大立光(3008.TW),36000,0.81,3008.TW
臻鼎-KY(4958.TW),335000,0.8,4958.TW
景碩(3189.TW),185000,0.79,3189.TW
勤誠(8210.TW),139000,0.76,8210.TW
欣銓(3264.TW),650000,0.74,3264.TW
健鼎(3044.TW),345000,0.71,3044.TW
邁科(6831.TW),182000,0.57,6831.TW
富世達(6805.TW),54000,0.48,6805.TW
禾伸堂(3026.TW),134000,0.4,3026.TW
貿聯-KY(3665.TW),32336,0.36,3665.TW
光聖(6442.TW),38000,0.28,6442.TW
嘉澤(3533.TW),13000,0.13,3533.TW
