個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1406000,8.43,2330.TW
台光電(2383.TW),563000,6.94,2383.TW
川湖(2059.TW),293000,5.81,2059.TW
智邦(2345.TW),977000,5.52,2345.TW
奇鋐(3017.TW),1002000,5.27,3017.TW
旺矽(6223.TW),326000,5.12,6223.TW
高力(8996.TW),1630000,4.75,8996.TW
欣興(3037.TW),2097000,4.54,3037.TW
大立光(3008.TW),420000,4.44,3008.TW
貿聯-KY(3665.TW),955000,4.2,3665.TW
國巨*(2327.TW),2066000,3.98,2327.TW
南俊國際(6584.TW),2231000,3.71,6584.TW
聯發科(2454.TW),406000,3.68,2454.TW
萬潤(6187.TW),1220000,2.98,6187.TW
聯電(2303.TW),7000000,2.62,2303.TW
日月光投控(3711.TW),1629000,2.59,3711.TW
群聯(8299.TW),445000,2.26,8299.TW
全新(2455.TW),2753000,2.15,2455.TW
創意(3443.TW),211000,2.1,3443.TW
合晶(6182.TW),4500000,2.08,6182.TW
世芯-KY(3661.TW),215000,1.99,3661.TW
尖點(8021.TW),1501000,1.81,8021.TW
穎崴(6515.TW),99000,1.73,6515.TW
環球晶(6488.TW),394000,1.48,6488.TW
辛耘(3583.TW),566000,1.07,3583.TW
竑騰(7751.TW),368000,1.04,7751.TW
禾伸堂(3026.TW),459000,0.93,3026.TW
景碩(3189.TW),440013,0.88,3189.TW
亞翔(6139.TW),250000,0.52,6139.TW
旺宏(2337.TW),1343000,0.46,2337.TW
上詮(3363.TW),300000,0.43,3363.TW
印能科技(7734.TW),56000,0.38,7734.TW
富世達(6805.TW),109000,0.36,6805.TW
威剛(3260.TW),358000,0.36,3260.TW
宜鼎(5289.TW),98000,0.35,5289.TW
欣銓(3264.TW),72000,0.04,3264.TW
昇達科(3491.TW),1000,0.0,3491.TW
