個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),378000,8.68,2330.TW
台光電(2383.TW),114000,5.93,2383.TW
欣興(3037.TW),563000,5.92,3037.TW
旺矽(6223.TW),115000,5.48,6223.TW
奇鋐(3017.TW),158000,5.03,3017.TW
川湖(2059.TW),32000,4.33,2059.TW
台燿(6274.TW),306000,4.32,6274.TW
南亞科(2408.TW),778000,3.98,2408.TW
聯發科(2454.TW),102000,3.85,2454.TW
信驊(5274.TW),25600,3.79,5274.TW
緯穎(6669.TW),55000,3.75,6669.TW
智邦(2345.TW),151000,3.04,2345.TW
景碩(3189.TW),354000,3.01,3189.TW
南電(8046.TW),247000,2.9,8046.TW
華邦電(2344.TW),1610000,2.77,2344.TW
創意(3443.TW),48000,2.73,3443.TW
穎崴(6515.TW),39000,2.31,6515.TW
健策(3653.TW),36000,1.97,3653.TW
台達電(2308.TW),110000,1.91,2308.TW
貿聯-KY(3665.TW),88000,1.88,3665.TW
聯電(2303.TW),1435000,1.77,2303.TW
台指期貨 2026/09(FITXN*1.TF),19,1.71,FITXN*1.TF
鴻勁(7769.TW),26000,1.6,7769.TW
國巨*(2327.TW),243000,1.37,2327.TW
宜鼎(5289.TW),94872,1.32,5289.TW
日月光投控(3711.TW),200000,1.18,3711.TW
聯亞(3081.TW),25000,0.78,3081.TW
群聯(8299.TW),36000,0.73,8299.TW
旺宏(2337.TW),444000,0.53,2337.TW
光寶科(2301.TW),175000,0.53,2301.TW
萬潤(6187.TW),38000,0.49,6187.TW
志聖(2467.TW),82000,0.47,2467.TW
元大金(2885.TW),773360,0.47,2885.TW
昇達科(3491.TW),32000,0.46,3491.TW
聯強(2347.TW),567000,0.46,2347.TW
全新(2455.TW),113000,0.46,2455.TW
凱基金(2883.TW),1458000,0.45,2883.TW
金居(8358.TW),87000,0.45,8358.TW
緯創(3231.TW),260000,0.44,3231.TW
金像電(2368.TW),41000,0.44,2368.TW
欣銓(3264.TW),195000,0.43,3264.TW
永豐金(2890.TW),1134220,0.43,2890.TW
致茂(2360.TW),22000,0.42,2360.TW
南俊國際(6584.TW),65000,0.42,6584.TW
高力(8996.TW),34000,0.41,8996.TW
中砂(1560.TW),57000,0.38,1560.TW
研華(2395.TW),59000,0.37,2395.TW
帆宣(6196.TW),79000,0.37,6196.TW
聯茂(6213.TW),66000,0.36,6213.TW
亞翔(6139.TW),48000,0.35,6139.TW
世芯-KY(3661.TW),8000,0.31,3661.TW
