個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),308000,22.33,2330.TW
台股期貨09/26(FITXN*1),61,16.59,FITXN*1
聯發科(2454.TW),51500,5.81,2454.TW
日月光投控(3711.TW),196000,3.5,3711.TW
台光電(2383.TW),18000,3.04,2383.TW
聯電(2303.TW),722000,2.73,2303.TW
信驊(5274.TW),4840,2.25,5274.TW
廣達(2382.TW),223000,2.21,2382.TW
瑞昱(2379.TW),98000,2.16,2379.TW
聯詠(3034.TW),128000,2.15,3034.TW
元大金(2885.TW),1073960,2.02,2885.TW
台達電(2308.TW),36000,1.86,2308.TW
超豐(2441.TW),527000,1.83,2441.TW
亞翔(6139.TW),78000,1.81,6139.TW
遠東銀(2845.TW),4366000,1.78,2845.TW
大聯大(3702.TW),532000,1.77,3702.TW
川湖(2059.TW),4000,1.73,2059.TW
帆宣(6196.TW),119000,1.71,6196.TW
義隆(2458.TW),407000,1.69,2458.TW
光寶科(2301.TW),184000,1.65,2301.TW
崇越(5434.TW),104000,1.64,5434.TW
材料*-KY(4763.TW),1175000,1.6,4763.TW
凌航(3135.TW),288000,1.57,3135.TW
研華(2395.TW),76000,1.54,2395.TW
威剛(3260.TW),108000,1.37,3260.TW
欣銓(3264.TW),188000,1.21,3264.TW
興勤(2428.TW),156000,1.18,2428.TW
慧洋-KY(2637.TW),410000,1.18,2637.TW
旺矽(6223.TW),6500,1.1,6223.TW
美律(2439.TW),426000,1.06,2439.TW
永豐金(2890.TW),828500,0.98,2890.TW
奇鋐(3017.TW),11000,0.98,3017.TW
致新(8081.TW),114000,0.87,8081.TW
欣興(3037.TW),23000,0.76,3037.TW
智邦(2345.TW),12000,0.74,2345.TW
聯強(2347.TW),272000,0.71,2347.TW
鴻海(2317.TW),95000,0.7,2317.TW
致茂(2360.TW),11000,0.65,2360.TW
南亞(1303.TW),112000,0.64,1303.TW
台新新光金(2887.TW),562150,0.63,2887.TW
寶雅*(5904.TW),232000,0.52,5904.TW
晶碩(6491.TW),46000,0.52,6491.TW
創意(3443.TW),3000,0.5,3443.TW
鈊象(3293.TW),23000,0.49,3293.TW
順德(2351.TW),81000,0.49,2351.TW
遠傳(4904.TW),156000,0.48,4904.TW
大成鋼(2027.TW),307000,0.47,2027.TW
宇瞻(8271.TW),37000,0.26,8271.TW
洋基工程(6691.TW),12600,0.23,6691.TW
矽格(6257.TW),37000,0.22,6257.TW
矽創(8016.TW),23000,0.2,8016.TW
藥華藥(6446.TW),2000,0.09,6446.TW
中租-KY(5871.TW),10800,0.04,5871.TW
華南金(2880.TW),21340,0.03,2880.TW
台指選擇權10/26 49200 買權,-18,-0.01,
台指選擇權09/26 48000 買權,-357,-0.11,
