個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),265999,14.41,2330.TW
聯發科(2454.TW),70101,7.87,2454.TW
奇鋐(3017.TW),103500,7.77,3017.TW
欣興(3037.TW),246001,6.18,3037.TW
台光電(2383.TW),50001,5.43,2383.TW
旺矽(6223.TW),39901,4.85,6223.TW
台燿(6274.TW),138000,4.36,6274.TW
創意(3443.TW),22050,4.0,3443.TW
川湖(2059.TW),14501,3.89,2059.TW
健策(3653.TW),25000,3.47,3653.TW
南電(8046.TW),125000,3.27,8046.TW
信驊(5274.TW),6420,2.82,5274.TW
聯電(2303.TW),800000,2.77,2303.TW
緯穎(6669.TW),55518,2.53,6669.TW
南亞科(2408.TW),210000,2.34,2408.TW
日月光投控(3711.TW),146002,2.19,3711.TW
富世達(6805.TW),37000,2.08,6805.TW
台達電(2308.TW),46500,1.91,2308.TW
景碩(3189.TW),95000,1.86,3189.TW
聯亞(3081.TW),28000,1.62,3081.TW
智邦(2345.TW),39000,1.6,2345.TW
致茂(2360.TW),25000,1.26,2360.TW
高力(8996.TW),37000,1.23,8996.TW
京元電子(2449.TW),180000,1.18,2449.TW
強茂(2481.TW),290000,1.09,2481.TW
力成(6239.TW),175000,1.09,6239.TW
昇達科(3491.TW),30000,1.02,3491.TW
萬潤(6187.TW),27000,0.7,6187.TW
貿聯-KY(3665.TW),13000,0.66,3665.TW
鴻勁(7769.TW),5000,0.65,7769.TW
欣銓(3264.TW),91000,0.5,3264.TW
南亞(1303.TW),95000,0.47,1303.TW
大立光(3008.TW),3000,0.4,3008.TW
金像電(2368.TW),16000,0.39,2368.TW
中砂(1560.TW),16000,0.33,1560.TW
彰銀(2801.TW),51000,0.03,2801.TW
裕融(9941.TW),260,0.0,9941.TW
