個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),324000.0,22.48,2330.TW
台股期貨09/26,,16.24,
聯發科(2454.TW),57500.0,7.01,2454.TW
日月光投控(3711.TW),196000.0,3.5,3711.TW
第一金(2892.TW),3328000.0,3.22,2892.TW
兆豐金(2886.TW),2239000.0,3.07,2886.TW
聯電(2303.TW),847000.0,2.97,2303.TW
台光電(2383.TW),16000.0,2.86,2383.TW
洋基工程(6691.TW),128000.0,2.7,6691.TW
華南金(2880.TW),2155340.0,2.43,2880.TW
信邦(3023.TW),245000.0,2.21,3023.TW
信驊(5274.TW),3840.0,1.97,5274.TW
欣銓(3264.TW),277000.0,1.81,3264.TW
大成(1210.TW),1196000.0,1.8,1210.TW
帆宣(6196.TW),122000.0,1.8,6196.TW
晶碩(6491.TW),166000.0,1.77,6491.TW
材料*-KY(4763.TW),1175000.0,1.75,4763.TW
大聯大(3702.TW),524000.0,1.75,3702.TW
光寶科(2301.TW),224000.0,1.73,2301.TW
微星(2377.TW),369000.0,1.7,2377.TW
崇越(5434.TW),104000.0,1.57,5434.TW
元大金(2885.TW),699000.0,1.41,2885.TW
寶雅*(5904.TW),612000.0,1.4,5904.TW
欣興(3037.TW),46000.0,1.36,3037.TW
創意(3443.TW),8000.0,1.27,3443.TW
旺矽(6223.TW),6500.0,1.21,6223.TW
致茂(2360.TW),18000.0,1.2,2360.TW
矽創(8016.TW),133000.0,1.18,8016.TW
奇鋐(3017.TW),12000.0,1.12,3017.TW
台達電(2308.TW),19000.0,1.04,2308.TW
興勤(2428.TW),110000.0,0.81,2428.TW
宇瞻(8271.TW),117000.0,0.79,8271.TW
威強電(3022.TW),284000.0,0.77,3022.TW
國巨*(2327.TW),41000.0,0.74,2327.TW
順德(2351.TW),118000.0,0.58,2351.TW
聯詠(3034.TW),37000.0,0.55,3034.TW
智邦(2345.TW),7000.0,0.47,2345.TW
超豐(2441.TW),131000.0,0.46,2441.TW
義隆(2458.TW),97000.0,0.41,2458.TW
矽格(6257.TW),66000.0,0.4,6257.TW
茂達(6138.TW),46000.0,0.39,6138.TW
威剛(3260.TW),31000.0,0.36,3260.TW
川湖(2059.TW),1000.0,0.36,2059.TW
宜鼎(5289.TW),7000.0,0.3,5289.TW
穎崴(6515.TW),1500.0,0.29,6515.TW
健策(3653.TW),2000.0,0.28,3653.TW
亞翔(6139.TW),11000.0,0.25,6139.TW
南亞(1303.TW),32000.0,0.19,1303.TW
力旺(3529.TW),2000.0,0.15,3529.TW
環球晶(6488.TW),5000.0,0.15,6488.TW
長榮航(2618.TW),112000.0,0.13,2618.TW
台新新光金(2887.TW),32150.0,0.04,2887.TW
永豐金(2890.TW),36500.0,0.04,2890.TW
中租-KY(5871.TW),10800.0,0.03,5871.TW
上海商銀(5876.TW),14230.0,0.02,5876.TW
台指選擇權10/26 49200 買權,,-0.03,
台指選擇權09/26 48000 買權,,-0.37,
