個股名稱,持有股數 / 口數,投資比例(%),ticker
台積電(2330.TW),753000,9.3,2330.TW
聯發科(2454.TW),249000,5.86,2454.TW
川湖(2059.TW),80000,5.01,2059.TW
台灣證交所加權股價指數(FITXN*1.TF),88,4.13,FITXN*1.TF
台達電(2308.TW),404000,3.64,2308.TW
台光電(2383.TW),136000,3.63,2383.TW
聯亞(3081.TW),228600,3.27,3081.TW
南亞科(2408.TW),1096000,2.91,2408.TW
南亞(1303.TW),2416000,2.84,1303.TW
欣興(3037.TW),563000,2.68,3037.TW
鴻勁(7769.TW),73000,2.54,7769.TW
鴻海(2317.TW),1921000,2.41,2317.TW
奇鋐(3017.TW),134000,2.2,3017.TW
華邦電(2344.TW),2293000,2.15,2344.TW
穎崴(6515.TW),55000,2.12,6515.TW
金像電(2368.TW),393000,2.11,2368.TW
旺矽(6223.TW),72000,2.09,6223.TW
群聯(8299.TW),197000,2.05,8299.TW
健策(3653.TW),69000,1.91,3653.TW
緯穎(6669.TW),155105,1.81,6669.TW
信驊(5274.TW),18300,1.76,5274.TW
創意(3443.TW),59000,1.76,3443.TW
智邦(2345.TW),174000,1.7,2345.TW
國巨*(2327.TW),595000,1.69,2327.TW
致茂(2360.TW),148000,1.68,2360.TW
廣達(2382.TW),987000,1.62,2382.TW
日月光投控(3711.TW),526000,1.62,3711.TW
中信金(2891.TW),4525000,1.54,2891.TW
玉山金(2884.TW),6340622,1.44,2884.TW
台燿(6274.TW),209000,1.4,6274.TW
技嘉(2376.TW),694000,1.24,2376.TW
聯茂(6213.TW),482000,1.23,6213.TW
臻鼎-KY(4958.TW),461000,1.16,4958.TW
寶雅*(5904.TW),3124500,1.12,5904.TW
高力(8996.TW),181000,1.11,8996.TW
文曄(3036.TW),1147000,1.09,3036.TW
南電(8046.TW),203000,1.04,8046.TW
緯創(3231.TW),1041000,0.97,3231.TW
鈊象(3293.TW),252000,0.89,3293.TW
勤誠(8210.TW),193000,0.87,8210.TW
大立光(3008.TW),26000,0.84,3008.TW
健鼎(3044.TW),345000,0.83,3044.TW
景碩(3189.TW),185000,0.74,3189.TW
欣銓(3264.TW),650000,0.73,3264.TW
力旺(3529.TW),44000,0.62,3529.TW
富世達(6805.TW),54000,0.58,6805.TW
邁科(6831.TW),182000,0.51,6831.TW
禾伸堂(3026.TW),134000,0.5,3026.TW
光聖(6442.TW),38000,0.32,6442.TW
貿聯-KY(3665.TW),32336,0.31,3665.TW
嘉澤(3533.TW),35000,0.28,3533.TW
