個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),90000,8.57,2330.TW
奇鋐(3017.TW),86000,8.3,3017.TW
台光電(2383.TW),34000,6.55,2383.TW
欣興(3037.TW),190000,6.46,3037.TW
旺矽(6223.TW),27000,6.24,6223.TW
創意(3443.TW),30000,4.95,3443.TW
聯發科(2454.TW),32000,4.86,2454.TW
貿聯-KY(3665.TW),50000,4.47,3665.TW
南亞科(2408.TW),240000,3.9,2408.TW
台燿(6274.TW),75000,3.8,6274.TW
南電(8046.TW),76000,3.42,8046.TW
亞翔(6139.TW),96000,3.27,6139.TW
全新(2455.TW),205000,2.77,2455.TW
智邦(2345.TW),28000,2.52,2345.TW
雍智科技(6683.TW),52000,2.51,6683.TW
健策(3653.TW),18000,2.5,3653.TW
鴻勁(7769.TW),10000,2.45,7769.TW
環球晶(6488.TW),55000,2.3,6488.TW
上詮(3363.TW),92729,2.19,3363.TW
昇陽半導體(8028.TW),176000,2.14,8028.TW
雙鍵(4764.TW),171000,1.94,4764.TW
金居(8358.TW),114000,1.7,8358.TW
同欣電(6271.TW),213000,1.63,6271.TW
竹陞科技(6739.TW),20000,0.87,6739.TW
聯亞(3081.TW),4800,0.34,3081.TW
信驊(5274.TW),300,0.18,5274.TW
