個股名稱,持有股數,投資比例(%),ticker
臺股期貨 202609(FITXN*1.TF),710,17.95,FITXN*1.TF
台積電(2330.TW),1246000,8.26,2330.TW
聯發科(2454.TW),495000,6.3,2454.TW
臺股期貨 202610(FITXN*1.TF),240,6.09,FITXN*1.TF
奇鋐(3017.TW),640000,5.97,3017.TW
台光電(2383.TW),325000,4.71,2383.TW
信驊(5274.TW),64000,3.23,5274.TW
旺矽(6223.TW),204000,3.09,6223.TW
健策(3653.TW),191000,2.98,3653.TW
台達電(2308.TW),643000,2.9,2308.TW
緯穎(6669.TW),453711,2.87,6669.TW
智邦(2345.TW),530000,2.81,2345.TW
南電(8046.TW),960000,2.77,8046.TW
川湖(2059.TW),80000,2.72,2059.TW
創意(3443.TW),136000,2.28,3443.TW
欣興(3037.TW),740000,1.98,3037.TW
貿聯-KY(3665.TW),371000,1.93,3665.TW
精測(6510.TW),190000,1.88,6510.TW
台燿(6274.TW),458000,1.72,6274.TW
國巨*(2327.TW),1012000,1.56,2327.TW
鴻勁(7769.TW),77000,1.34,7769.TW
金像電(2368.TW),466000,1.31,2368.TW
日月光投控(3711.TW),626000,1.1,3711.TW
穎崴(6515.TW),54000,1.05,6515.TW
聯電(2303.TW),2650000,1.02,2303.TW
景碩(3189.TW),448000,1.0,3189.TW
京元電子(2449.TW),1310000,0.96,2449.TW
元大金(2885.TW),5100000,0.96,2885.TW
致茂(2360.TW),164000,0.96,2360.TW
鴻海(2317.TW),1400000,0.95,2317.TW
臻鼎-KY(4958.TW),579000,0.77,4958.TW
昇達科(3491.TW),200000,0.73,3491.TW
大立光(3008.TW),40000,0.72,3008.TW
上詮(3363.TW),300000,0.58,3363.TW
環球晶(6488.TW),228000,0.56,6488.TW
萬潤(6187.TW),160000,0.55,6187.TW
一詮(2486.TW),837000,0.55,2486.TW
高力(8996.TW),152000,0.53,8996.TW
台化(1326.TW),2500000,0.48,1326.TW
華邦電(2344.TW),973000,0.47,2344.TW
聯鈞(3450.TW),315000,0.44,3450.TW
聯亞(3081.TW),52000,0.4,3081.TW
兆豐金(2886.TW),2500000,0.34,2886.TW
大量(3167.TW),150000,0.34,3167.TW
金居(8358.TW),235000,0.33,8358.TW
愛普*(6531.TW),110000,0.31,6531.TW
穩懋(3105.TW),216000,0.27,3105.TW
南亞(1303.TW),395000,0.26,1303.TW
富世達(6805.TW),44000,0.26,6805.TW
研華(2395.TW),121000,0.22,2395.TW
全新(2455.TW),155000,0.22,2455.TW
威剛(3260.TW),180000,0.2,3260.TW
啟碁(6285.TW),323000,0.2,6285.TW
勤誠(8210.TW),71000,0.17,8210.TW
弘塑(3131.TW),24000,0.16,3131.TW
辛耘(3583.TW),78000,0.15,3583.TW
聯茂(6213.TW),110000,0.15,6213.TW
亞翔(6139.TW),72000,0.15,6139.TW
南茂(8150.TW),455000,0.11,8150.TW
宜鼎(5289.TW),26517,0.09,5289.TW
帆宣(6196.TW),60000,0.09,6196.TW
茂達(6138.TW),80000,0.06,6138.TW
臺指選擇權,-1200,-4.99,
臺指選擇權第二週週五到期契約,-3280,-16.35,
