個股名稱,持有股數,投資比例(%),ticker
聖暉*(5536.TW),3735000,9.55,5536.TW
台積電(2330.TW),1967000,9.02,2330.TW
聯發科(2454.TW),862000,6.55,2454.TW
亞翔(6139.TW),3067000,5.28,6139.TW
旺矽(6223.TW),307000,3.91,6223.TW
智邦(2345.TW),799000,3.73,2345.TW
臻鼎-KY(4958.TW),3147000,3.58,4958.TW
穩懋(3105.TW),4143000,3.44,3105.TW
台光電(2383.TW),328000,3.38,2383.TW
致茂(2360.TW),823000,3.28,2360.TW
聯電(2303.TW),8964000,2.88,2303.TW
川湖(2059.TW),183000,2.51,2059.TW
緯穎(6669.TW),294000,2.47,6669.TW
昇達科(3491.TW),967000,2.33,3491.TW
環球晶(6488.TW),1140000,2.09,6488.TW
矽格(6257.TW),4657000,2.04,6257.TW
欣銓(3264.TW),4628000,1.95,3264.TW
大立光(3008.TW),200000,1.85,3008.TW
奇鋐(3017.TW),407000,1.8,3017.TW
辛耘(3583.TW),1113000,1.77,3583.TW
立隆電(2472.TW),2356000,1.74,2472.TW
國巨*(2327.TW),849000,1.69,2327.TW
志聖(2467.TW),1450000,1.59,2467.TW
楠梓電(2316.TW),3375000,1.52,2316.TW
光洋科(1785.TW),5491000,1.47,1785.TW
微星(2377.TW),5663000,1.46,2377.TW
台燿(6274.TW),439000,1.36,6274.TW
愛普*(6531.TW),694000,1.35,6531.TW
矽創(8016.TW),2198000,1.34,8016.TW
日月光投控(3711.TW),1002000,1.24,3711.TW
鴻勁(7769.TW),92000,1.17,7769.TW
大聯大(3702.TW),5380000,1.12,3702.TW
高力(8996.TW),376000,1.01,8996.TW
頎邦(6147.TW),2300000,0.98,6147.TW
文曄(3036.TW),2290000,0.97,3036.TW
金像電(2368.TW),389000,0.91,2368.TW
台表科(6278.TW),2184000,0.82,6278.TW
技嘉(2376.TW),1060000,0.66,2376.TW
力成(6239.TW),700000,0.43,6239.TW
富世達(6805.TW),121000,0.39,6805.TW
順德(2351.TW),900000,0.35,2351.TW
創見(2451.TW),519000,0.28,2451.TW
信驊(5274.TW),9000,0.28,5274.TW
元大金(2885.TW),2114420,0.27,2885.TW
萬潤(6187.TW),91000,0.19,6187.TW
新日興(3376.TW),359000,0.14,3376.TW
達麗(6177.TW),194350,0.02,6177.TW
創意(3443.TW),1000,0.01,3443.TW
兆豐金(2886.TW),1000,0.0,2886.TW
振大環球(4441.TW),4000,0.0,4441.TW
神達(3706.TW),1400,0.0,3706.TW
富邦金(2881.TW),250,0.0,2881.TW
華城(1519.TW),600,0.0,1519.TW
南電(8046.TW),1000,0.0,8046.TW
金居(8358.TW),1000,0.0,8358.TW
