個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1937000,8.28,2330.TW
聖暉*(5536.TW),3804000,6.86,5536.TW
聯發科(2454.TW),873000,6.83,2454.TW
欣銓(3264.TW),9176000,4.06,3264.TW
亞翔(6139.TW),2813000,4.0,6139.TW
昇達科(3491.TW),980000,3.92,3491.TW
穩懋(3105.TW),4039000,3.87,3105.TW
致茂(2360.TW),835000,3.82,2360.TW
智邦(2345.TW),816000,3.6,2345.TW
旺矽(6223.TW),312000,3.38,6223.TW
頎邦(6147.TW),5987000,3.32,6147.TW
台光電(2383.TW),335000,3.11,2383.TW
臻鼎-KY(4958.TW),3192000,2.99,4958.TW
緯穎(6669.TW),300000,2.97,6669.TW
聯電(2303.TW),9119000,2.39,2303.TW
啟碁(6285.TW),4083000,2.37,6285.TW
環球晶(6488.TW),1159000,2.14,6488.TW
奇鋐(3017.TW),412000,1.99,3017.TW
矽格(6257.TW),4756000,1.96,6257.TW
立隆電(2472.TW),2820000,1.9,2472.TW
辛耘(3583.TW),1138000,1.79,3583.TW
川湖(2059.TW),186000,1.71,2059.TW
志聖(2467.TW),1484000,1.67,2467.TW
光洋科(1785.TW),5607000,1.61,1785.TW
鴻勁(7769.TW),94000,1.41,7769.TW
台燿(6274.TW),446000,1.37,6274.TW
微星(2377.TW),5736000,1.36,2377.TW
大立光(3008.TW),204000,1.3,3008.TW
矽創(8016.TW),2240000,1.24,8016.TW
文曄(3036.TW),2344000,1.23,3036.TW
愛普*(6531.TW),558000,1.21,6531.TW
大聯大(3702.TW),5498000,1.17,3702.TW
日月光投控(3711.TW),1022000,1.13,3711.TW
國巨*(2327.TW),833000,1.12,2327.TW
楠梓電(2316.TW),3422000,1.05,2316.TW
金像電(2368.TW),398000,0.95,2368.TW
台表科(6278.TW),2235000,0.9,6278.TW
漢唐(2404.TW),379000,0.79,2404.TW
高力(8996.TW),382000,0.76,8996.TW
順德(2351.TW),1369000,0.52,2351.TW
技嘉(2376.TW),538000,0.36,2376.TW
創見(2451.TW),525000,0.32,2451.TW
信驊(5274.TW),9000,0.31,5274.TW
邁科(6831.TW),226000,0.3,6831.TW
新日興(3376.TW),364000,0.13,3376.TW
元大金(2885.TW),1128420,0.12,2885.TW
達麗(6177.TW),396350,0.03,6177.TW
創意(3443.TW),1000,0.01,3443.TW
兆豐金(2886.TW),1000,0.0,2886.TW
振大環球(4441.TW),4000,0.0,4441.TW
神達(3706.TW),1400,0.0,3706.TW
貿聯-KY(3665.TW),136,0.0,3665.TW
華固(2548.TW),2000,0.0,2548.TW
富邦金(2881.TW),250,0.0,2881.TW
華城(1519.TW),600,0.0,1519.TW
富世達(6805.TW),1000,0.0,6805.TW
南電(8046.TW),2000,0.0,8046.TW
金居(8358.TW),1000,0.0,8358.TW
