個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),292999,13.18,2330.TW
台光電(2383.TW),76001,8.8,2383.TW
奇鋐(3017.TW),105500,6.41,3017.TW
欣興(3037.TW),334001,6.4,3037.TW
聯發科(2454.TW),79001,6.24,2454.TW
南電(8046.TW),236000,5.78,8046.TW
旺矽(6223.TW),41901,5.07,6223.TW
台燿(6274.TW),158000,4.97,6274.TW
川湖(2059.TW),21001,4.93,2059.TW
智邦(2345.TW),79000,3.41,2345.TW
緯穎(6669.TW),26000,3.14,6669.TW
日月光投控(3711.TW),262002,3.03,3711.TW
南亞科(2408.TW),314000,3.02,2408.TW
台達電(2308.TW),74499,2.64,2308.TW
信驊(5274.TW),7920,2.63,5274.TW
致茂(2360.TW),53000,2.29,2360.TW
創意(3443.TW),19050,1.95,3443.TW
國巨*(2327.TW),166000,1.94,2327.TW
鴻勁(7769.TW),11000,1.36,7769.TW
健策(3653.TW),13000,1.18,3653.TW
貿聯-KY(3665.TW),25000,1.03,3665.TW
聯電(2303.TW),430000,0.98,2303.TW
力成(6239.TW),175000,0.91,6239.TW
華邦電(2344.TW),250000,0.86,2344.TW
環球晶(6488.TW),45000,0.85,6488.TW
中美晶(5483.TW),230000,0.81,5483.TW
萬潤(6187.TW),24000,0.57,6187.TW
廣達(2382.TW),70000,0.43,2382.TW
臻鼎-KY(4958.TW),43000,0.4,4958.TW
富世達(6805.TW),10000,0.34,6805.TW
金像電(2368.TW),16000,0.3,2368.TW
高力(8996.TW),12000,0.29,8996.TW
強茂(2481.TW),90000,0.23,2481.TW
鴻海(2317.TW),40000,0.19,2317.TW
緯創(3231.TW),51000,0.19,3231.TW
兆豐金(2886.TW),100000,0.09,2886.TW
聯亞(3081.TW),1000,0.05,3081.TW
京元電子(2449.TW),4000,0.02,2449.TW
漢唐(2404.TW),1000,0.02,2404.TW
