個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1025000,8.18,2330.TW
聯發科(2454.TW),470000,6.12,2454.TW
台光電(2383.TW),291000,6.05,2383.TW
川湖(2059.TW),123000,5.93,2059.TW
欣興(3037.TW),1479000,5.68,3037.TW
健策(3653.TW),247000,4.27,3653.TW
旺矽(6223.TW),238000,4.21,6223.TW
致茂(2360.TW),541000,4.18,2360.TW
創意(3443.TW),190000,3.53,3443.TW
奇鋐(3017.TW),336000,3.42,3017.TW
環球晶(6488.TW),938000,3.33,6488.TW
緯穎(6669.TW),140000,3.0,6669.TW
信驊(5274.TW),52400,3.0,5274.TW
大立光(3008.TW),154000,2.73,3008.TW
台達電(2308.TW),446000,2.72,2308.TW
貿聯-KY(3665.TW),354000,2.66,3665.TW
萬潤(6187.TW),596000,2.52,6187.TW
南亞科(2408.TW),1119000,1.93,2408.TW
智邦(2345.TW),227000,1.69,2345.TW
健鼎(3044.TW),1034000,1.69,3044.TW
元大金(2885.TW),6267040,1.34,2885.TW
金像電(2368.TW),353000,1.27,2368.TW
南電(8046.TW),260000,1.09,8046.TW
台燿(6274.TW),208000,1.08,6274.TW
文曄(3036.TW),1532000,1.04,3036.TW
新代(7750.TW),122000,1.02,7750.TW
力旺(3529.TW),122000,0.96,3529.TW
力成(6239.TW),1030000,0.92,6239.TW
光聖(6442.TW),163000,0.85,6442.TW
鴻海(2317.TW),960000,0.8,2317.TW
京元電子(2449.TW),999000,0.79,2449.TW
順達(3211.TW),618000,0.79,3211.TW
華通(2313.TW),1107336,0.78,2313.TW
富邦金(2881.TW),1699000,0.74,2881.TW
鴻勁(7769.TW),34000,0.74,7769.TW
廣達(2382.TW),664000,0.73,2382.TW
世界(5347.TW),1351000,0.7,5347.TW
華星光(4979.TW),293000,0.52,4979.TW
穎崴(6515.TW),21000,0.44,6515.TW
南亞(1303.TW),615000,0.41,1303.TW
崇越(5434.TW),200000,0.37,5434.TW
鈊象(3293.TW),133000,0.33,3293.TW
日電貿(3090.TW),592000,0.32,3090.TW
精材(3374.TW),271000,0.28,3374.TW
新普(6121.TW),178000,0.24,6121.TW
嘉基(6715.TW),140000,0.2,6715.TW
宏全(9939.TW),180000,0.08,9939.TW
聯電(2303.TW),54000,0.02,2303.TW
