個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1406000,8.58,2330.TW
台光電(2383.TW),563000,7.34,2383.TW
智邦(2345.TW),1080000,6.28,2345.TW
川湖(2059.TW),293000,6.06,2059.TW
奇鋐(3017.TW),1002000,5.77,3017.TW
貿聯-KY(3665.TW),955000,5.14,3665.TW
旺矽(6223.TW),326000,4.98,6223.TW
欣興(3037.TW),2097000,4.84,3037.TW
高力(8996.TW),1630000,4.48,8996.TW
大立光(3008.TW),420000,4.27,3008.TW
聯發科(2454.TW),406000,3.98,2454.TW
國巨*(2327.TW),2066000,3.69,2327.TW
萬潤(6187.TW),1220000,3.27,6187.TW
南俊國際(6584.TW),2231000,3.13,6584.TW
日月光投控(3711.TW),1629000,2.72,3711.TW
聯電(2303.TW),7000000,2.47,2303.TW
創意(3443.TW),211000,2.35,3443.TW
全新(2455.TW),2753000,2.27,2455.TW
群聯(8299.TW),445000,2.17,8299.TW
世芯-KY(3661.TW),215000,1.96,3661.TW
尖點(8021.TW),1501000,1.6,8021.TW
禾伸堂(3026.TW),909000,1.53,3026.TW
環球晶(6488.TW),394000,1.24,6488.TW
竑騰(7751.TW),318000,1.02,7751.TW
景碩(3189.TW),440013,0.89,3189.TW
穎崴(6515.TW),42000,0.69,6515.TW
亞翔(6139.TW),250000,0.54,6139.TW
旺宏(2337.TW),1343000,0.46,2337.TW
印能科技(7734.TW),56000,0.45,7734.TW
上詮(3363.TW),300000,0.43,3363.TW
富世達(6805.TW),109000,0.39,6805.TW
威剛(3260.TW),358000,0.35,3260.TW
宜鼎(5289.TW),98000,0.34,5289.TW
辛耘(3583.TW),147000,0.29,3583.TW
欣銓(3264.TW),72000,0.04,3264.TW
昇達科(3491.TW),1000,0.0,3491.TW
