個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),637000,14.87,2330.TW
台積電期貨(FICDFN*1.TF),110,5.15,FICDFN*1.TF
日月光投控(3711.TW),706000,4.23,3711.TW
技嘉(2376.TW),1215000,4.11,2376.TW
遠傳(4904.TW),3832000,3.92,4904.TW
中華電(2412.TW),2828000,3.85,2412.TW
聯發科(2454.TW),67000,2.98,2454.TW
研華(2395.TW),444000,2.9,2395.TW
台光電(2383.TW),52000,2.7,2383.TW
緯穎(6669.TW),114036,2.55,6669.TW
鴻海(2317.TW),1021000,2.45,2317.TW
光聖(6442.TW),140000,2.26,6442.TW
東元(1504.TW),2904000,1.95,1504.TW
欣興(3037.TW),198000,1.87,3037.TW
微星(2377.TW),1213000,1.75,2377.TW
華航(2610.TW),8783000,1.74,2610.TW
中信金(2891.TW),2652000,1.72,2891.TW
藥華藥(6446.TW),138000,1.71,6446.TW
奇鋐(3017.TW),52000,1.7,3017.TW
世芯-KY(3661.TW),47000,1.66,3661.TW
長榮(2603.TW),726000,1.65,2603.TW
台達電(2308.TW),105000,1.65,2308.TW
國巨*(2327.TW),295000,1.55,2327.TW
新代(7750.TW),80000,1.55,7750.TW
昇達科(3491.TW),107000,1.47,3491.TW
智邦(2345.TW),80000,1.46,2345.TW
富邦金(2881.TW),1004000,1.44,2881.TW
貿聯-KY(3665.TW),74000,1.34,3665.TW
環球晶(6488.TW),143000,1.25,6488.TW
統一(1216.TW),1657000,1.2,1216.TW
鴻勁(7769.TW),18000,1.1,7769.TW
南電(8046.TW),102000,1.07,8046.TW
聯電(2303.TW),766000,1.04,2303.TW
高力(8996.TW),76000,0.98,8996.TW
大成鋼(2027.TW),2097000,0.94,2027.TW
致茂(2360.TW),43000,0.9,2360.TW
健策(3653.TW),13000,0.73,3653.TW
萬潤(6187.TW),60000,0.73,6187.TW
台塑(1301.TW),1103000,0.69,1301.TW
頎邦(6147.TW),390000,0.68,6147.TW
聯亞(3081.TW),17000,0.46,3081.TW
華邦電(2344.TW),243000,0.4,2344.TW
南亞科(2408.TW),79000,0.38,2408.TW
弘塑(3131.TW),12000,0.27,3131.TW
川湖(2059.TW),1000,0.12,2059.TW
大立光(3008.TW),1000,0.06,3008.TW
群聯(8299.TW),1000,0.02,8299.TW
景碩(3189.TW),1000,0.01,3189.TW
穩懋(3105.TW),2000,0.01,3105.TW
金像電(2368.TW),1000,0.01,2368.TW
文曄(3036.TW),1000,0.0,3036.TW
