個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),991000,8.96,2330.TW
台光電(2383.TW),269000,5.73,2383.TW
欣興(3037.TW),1310000,5.33,3037.TW
緯穎(6669.TW),205000,4.81,6669.TW
聯發科(2454.TW),321000,4.57,2454.TW
奇鋐(3017.TW),424000,4.56,3017.TW
台達電(2308.TW),570000,3.74,2308.TW
台燿(6274.TW),643000,3.61,6274.TW
川湖(2059.TW),70000,3.52,2059.TW
創意(3443.TW),163000,3.43,3443.TW
旺矽(6223.TW),157000,3.22,6223.TW
智邦(2345.TW),366000,2.79,2345.TW
南電(8046.TW),620000,2.64,8046.TW
日月光投控(3711.TW),1138000,2.51,3711.TW
富世達(6805.TW),341000,2.26,6805.TW
國巨*(2327.TW),1070000,2.22,2327.TW
貿聯-KY(3665.TW),257000,2.19,3665.TW
南亞科(2408.TW),1076000,2.13,2408.TW
致茂(2360.TW),267000,2.1,2360.TW
信驊(5274.TW),34900,2.01,5274.TW
研華(2395.TW),811000,1.98,2395.TW
健策(3653.TW),98000,1.98,3653.TW
金像電(2368.TW),538000,1.95,2368.TW
臻鼎-KY(4958.TW),1028000,1.7,4958.TW
聯電(2303.TW),3366000,1.47,2303.TW
穎崴(6515.TW),59000,1.42,6515.TW
藥華藥(6446.TW),201191,1.06,6446.TW
聯亞(3081.TW),90000,0.99,3081.TW
光寶科(2301.TW),987000,0.97,2301.TW
力旺(3529.TW),113000,0.91,3529.TW
勤誠(8210.TW),258000,0.91,8210.TW
萬潤(6187.TW),200000,0.9,6187.TW
萬海(2615.TW),1611000,0.75,2615.TW
聯詠(3034.TW),361000,0.72,3034.TW
大立光(3008.TW),31000,0.65,3008.TW
南亞(1303.TW),830000,0.6,1303.TW
鈊象(3293.TW),205000,0.56,3293.TW
中砂(1560.TW),186000,0.47,1560.TW
昇達科(3491.TW),92000,0.44,3491.TW
高力(8996.TW),106000,0.43,8996.TW
愛普*(6531.TW),92000,0.3,6531.TW
瑞昱(2379.TW),82000,0.22,2379.TW
創見(2451.TW),161000,0.19,2451.TW
宜鼎(5289.TW),32000,0.19,5289.TW
崇越(5434.TW),99000,0.19,5434.TW
威剛(3260.TW),115000,0.18,3260.TW
群聯(8299.TW),19000,0.15,8299.TW
華邦電(2344.TW),203000,0.14,2344.TW
亞德客-KY(1590.TW),14000,0.08,1590.TW
中華電(2412.TW),77000,0.04,2412.TW
