個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),634000,9.49,2330.TW
聯發科(2454.TW),269000,6.43,2454.TW
台光電(2383.TW),151000,4.57,2383.TW
川湖(2059.TW),91000,4.48,2059.TW
台達電(2308.TW),378000,4.3,2308.TW
欣興(3037.TW),562000,3.0,3037.TW
鴻勁(7769.TW),73000,2.82,7769.TW
旺矽(6223.TW),76000,2.76,6223.TW
聯亞(3081.TW),237600,2.66,3081.TW
南亞科(2408.TW),1008000,2.58,2408.TW
鴻海(2317.TW),1447000,2.33,2317.TW
金像電(2368.TW),393000,2.26,2368.TW
穎崴(6515.TW),55000,2.21,6515.TW
智邦(2345.TW),147000,2.08,2345.TW
奇鋐(3017.TW),131000,1.99,3017.TW
致茂(2360.TW),143000,1.9,2360.TW
南亞(1303.TW),1535000,1.74,1303.TW
緯穎(6669.TW),47000,1.72,6669.TW
日月光投控(3711.TW),400000,1.56,3711.TW
創意(3443.TW),59000,1.53,3443.TW
信驊(5274.TW),16300,1.53,5274.TW
台燿(6274.TW),187000,1.49,6274.TW
南電(8046.TW),203000,1.44,8046.TW
國巨*(2327.TW),345000,1.41,2327.TW
技嘉(2376.TW),623000,1.41,2376.TW
健策(3653.TW),64000,1.4,3653.TW
文曄(3036.TW),1067000,1.4,3036.TW
群聯(8299.TW),120000,1.4,8299.TW
廣達(2382.TW),647000,1.35,2382.TW
中信金(2891.TW),3264000,1.32,2891.TW
寶雅(5904.TW),312450,1.3,5904.TW
高力(8996.TW),181000,1.16,8996.TW
華邦電(2344.TW),1153000,1.14,2344.TW
鈊象(3293.TW),225000,1.02,3293.TW
緯創(3231.TW),871000,0.99,3231.TW
臻鼎-KY(4958.TW),318000,0.98,4958.TW
力旺(3529.TW),60000,0.94,3529.TW
勤誠(8210.TW),132000,0.92,8210.TW
聯茂(6213.TW),460000,0.91,6213.TW
玉山金(2884.TW),3867622,0.89,2884.TW
大立光(3008.TW),35000,0.87,3008.TW
景碩(3189.TW),184000,0.83,3189.TW
禾伸堂(3026.TW),134000,0.55,3026.TW
富世達(6805.TW),54000,0.49,6805.TW
貿聯-KY(3665.TW),32336,0.45,3665.TW
欣銓(3264.TW),316000,0.42,3264.TW
健鼎(3044.TW),164000,0.41,3044.TW
邁科(6831.TW),83000,0.36,6831.TW
光聖(6442.TW),37000,0.31,6442.TW
嘉澤(3533.TW),13000,0.16,3533.TW
