個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),637000,14.89,2330.TW
台積電期貨(FICDFN*1.TF),110,5.16,FICDFN*1.TF
日月光投控(3711.TW),706000,4.29,3711.TW
技嘉(2376.TW),1215000,4.03,2376.TW
遠傳(4904.TW),3832000,3.78,4904.TW
中華電(2412.TW),2828000,3.74,2412.TW
聯發科(2454.TW),67000,2.94,2454.TW
研華(2395.TW),444000,2.75,2395.TW
台光電(2383.TW),52000,2.65,2383.TW
緯穎(6669.TW),114036,2.51,6669.TW
鴻海(2317.TW),1021000,2.44,2317.TW
光聖(6442.TW),140000,2.26,6442.TW
東元(1504.TW),2904000,1.95,1504.TW
欣興(3037.TW),198000,1.86,3037.TW
微星(2377.TW),1213000,1.8,2377.TW
台達電(2308.TW),105000,1.79,2308.TW
藥華藥(6446.TW),138000,1.76,6446.TW
世芯-KY(3661.TW),47000,1.74,3661.TW
新代(7750.TW),80000,1.72,7750.TW
華航(2610.TW),8783000,1.7,2610.TW
中信金(2891.TW),2652000,1.68,2891.TW
奇鋐(3017.TW),52000,1.67,3017.TW
長榮(2603.TW),726000,1.61,2603.TW
國巨*(2327.TW),295000,1.58,2327.TW
智邦(2345.TW),80000,1.53,2345.TW
昇達科(3491.TW),107000,1.48,3491.TW
富邦金(2881.TW),1004000,1.4,2881.TW
貿聯-KY(3665.TW),74000,1.39,3665.TW
環球晶(6488.TW),143000,1.3,6488.TW
統一(1216.TW),1657000,1.19,1216.TW
鴻勁(7769.TW),18000,1.15,7769.TW
南電(8046.TW),102000,1.07,8046.TW
聯電(2303.TW),766000,1.03,2303.TW
大成鋼(2027.TW),2097000,0.97,2027.TW
高力(8996.TW),76000,0.97,8996.TW
致茂(2360.TW),43000,0.95,2360.TW
萬潤(6187.TW),60000,0.76,6187.TW
頎邦(6147.TW),390000,0.73,6147.TW
健策(3653.TW),13000,0.71,3653.TW
台塑(1301.TW),1103000,0.7,1301.TW
聯亞(3081.TW),17000,0.46,3081.TW
華邦電(2344.TW),243000,0.42,2344.TW
南亞科(2408.TW),79000,0.39,2408.TW
弘塑(3131.TW),12000,0.29,3131.TW
川湖(2059.TW),1000,0.12,2059.TW
大立光(3008.TW),1000,0.07,3008.TW
群聯(8299.TW),1000,0.02,8299.TW
景碩(3189.TW),1000,0.01,3189.TW
穩懋(3105.TW),2000,0.01,3105.TW
金像電(2368.TW),1000,0.01,2368.TW
文曄(3036.TW),1000,0.0,3036.TW
