個股名稱,持有股數,投資比例(%),ticker
奇鋐(3017.TW),1001000,7.97,3017.TW
台積電(2330.TW),1116000,6.66,2330.TW
川湖(2059.TW),205000,6.2,2059.TW
欣興(3037.TW),2482000,5.98,3037.TW
台光電(2383.TW),465000,5.93,2383.TW
貿聯-KY(3665.TW),1161000,5.81,3665.TW
高力(8996.TW),1630000,5.32,8996.TW
智邦(2345.TW),1074000,4.96,2345.TW
大立光(3008.TW),293000,4.58,3008.TW
旺矽(6223.TW),268000,3.77,6223.TW
富喬(1815.TW),11420868,3.4,1815.TW
緯創(3231.TW),7245000,3.33,3231.TW
南俊國際(6584.TW),2231000,3.11,6584.TW
南亞(1303.TW),5445000,3.06,1303.TW
尖點(8021.TW),2682000,2.96,8021.TW
全新(2455.TW),2150000,2.78,2455.TW
南電(8046.TW),968000,2.68,8046.TW
創意(3443.TW),164000,2.54,3443.TW
緯穎(6669.TW),429675,2.33,6669.TW
世芯-KY(3661.TW),215000,1.8,3661.TW
景碩(3189.TW),844013,1.74,3189.TW
聯發科(2454.TW),145000,1.65,2454.TW
臻鼎-KY(4958.TW),1000000,1.24,4958.TW
穎崴(6515.TW),51000,0.79,6515.TW
聯茂(6213.TW),373000,0.51,6213.TW
禾伸堂(3026.TW),261000,0.51,3026.TW
信驊(5274.TW),11000,0.5,5274.TW
光寶科(2301.TW),659000,0.46,2301.TW
華碩(2357.TW),196000,0.46,2357.TW
技嘉(2376.TW),508000,0.45,2376.TW
亞翔(6139.TW),250000,0.44,6139.TW
聯亞(3081.TW),63000,0.44,3081.TW
健策(3653.TW),33000,0.43,3653.TW
南茂(8150.TW),1957000,0.43,8150.TW
萬潤(6187.TW),134000,0.41,6187.TW
台燿(6274.TW),113000,0.4,6274.TW
漢唐(2404.TW),155000,0.4,2404.TW
致茂(2360.TW),76000,0.4,2360.TW
日月光投控(3711.TW),250000,0.38,3711.TW
宜鼎(5289.TW),99952,0.32,5289.TW
世界(5347.TW),629000,0.25,5347.TW
