個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),1034000,8.58,2330.TW
聯發科(2454.TW),470000,6.42,2454.TW
川湖(2059.TW),123000,6.03,2059.TW
緯穎(6669.TW),221000,5.46,6669.TW
健策(3653.TW),247000,4.9,3653.TW
旺矽(6223.TW),238000,4.11,6223.TW
創意(3443.TW),190000,3.92,3443.TW
奇鋐(3017.TW),336000,3.87,3017.TW
大立光(3008.TW),154000,3.73,3008.TW
致茂(2360.TW),470000,3.24,2360.TW
環球晶(6488.TW),938000,3.13,6488.TW
信驊(5274.TW),52400,2.81,5274.TW
台達電(2308.TW),446000,2.8,2308.TW
萬潤(6187.TW),596000,2.79,6187.TW
欣興(3037.TW),620000,2.36,3037.TW
台燿(6274.TW),395000,2.02,6274.TW
健鼎(3044.TW),1034000,1.74,3044.TW
智邦(2345.TW),227000,1.65,2345.TW
富邦金(2881.TW),3104000,1.53,2881.TW
台光電(2383.TW),76000,1.43,2383.TW
南亞(1303.TW),1861000,1.41,1303.TW
元大金(2885.TW),6267040,1.38,2885.TW
金像電(2368.TW),353000,1.37,2368.TW
貿聯-KY(3665.TW),168000,1.3,3665.TW
力旺(3529.TW),122000,1.06,3529.TW
禾伸堂(3026.TW),404000,1.03,3026.TW
文曄(3036.TW),1532000,1.03,3036.TW
日月光投控(3711.TW),464000,0.99,3711.TW
新代(7750.TW),122000,0.96,7750.TW
聯亞(3081.TW),82000,0.93,3081.TW
京元電子(2449.TW),999000,0.93,2449.TW
聯電(2303.TW),2096000,0.93,2303.TW
華通(2313.TW),1107336,0.92,2313.TW
光聖(6442.TW),163000,0.9,6442.TW
鴻海(2317.TW),960000,0.83,2317.TW
廣達(2382.TW),664000,0.76,2382.TW
鴻勁(7769.TW),34000,0.76,7769.TW
世界(5347.TW),1351000,0.71,5347.TW
華星光(4979.TW),293000,0.61,4979.TW
穎崴(6515.TW),21000,0.45,6515.TW
崇越(5434.TW),200000,0.36,5434.TW
精材(3374.TW),271000,0.36,3374.TW
日電貿(3090.TW),592000,0.35,3090.TW
鈊象(3293.TW),133000,0.32,3293.TW
大量(3167.TW),115000,0.31,3167.TW
新普(6121.TW),178000,0.25,6121.TW
宏全(9939.TW),180000,0.08,9939.TW
