個股名稱,持有股數,投資比例(%),ticker
臺股期貨 202609(FITXN*1.TF),710,18.57,FITXN*1.TF
台積電(2330.TW),1246000,8.51,2330.TW
聯發科(2454.TW),495000,6.35,2454.TW
奇鋐(3017.TW),620000,5.81,3017.TW
臺股期貨 202610(FITXN*1.TF),190,4.99,FITXN*1.TF
台光電(2383.TW),325000,4.84,2383.TW
信驊(5274.TW),64000,3.3,5274.TW
台達電(2308.TW),643000,3.2,2308.TW
旺矽(6223.TW),204000,3.18,6223.TW
智邦(2345.TW),530000,2.96,2345.TW
南電(8046.TW),960000,2.95,8046.TW
緯穎(6669.TW),453711,2.92,6669.TW
川湖(2059.TW),80000,2.75,2059.TW
健策(3653.TW),169000,2.7,3653.TW
創意(3443.TW),136000,2.23,3443.TW
欣興(3037.TW),740000,2.04,3037.TW
貿聯-KY(3665.TW),361000,1.98,3665.TW
台燿(6274.TW),458000,1.71,6274.TW
精測(6510.TW),170000,1.7,6510.TW
國巨*(2327.TW),1012000,1.59,2327.TW
鴻勁(7769.TW),77000,1.43,7769.TW
金像電(2368.TW),466000,1.42,2368.TW
日月光投控(3711.TW),626000,1.11,3711.TW
穎崴(6515.TW),54000,1.09,6515.TW
致茂(2360.TW),164000,1.06,2360.TW
聯電(2303.TW),2650000,1.04,2303.TW
元大金(2885.TW),5100000,0.99,2885.TW
京元電子(2449.TW),1310000,0.98,2449.TW
鴻海(2317.TW),1400000,0.98,2317.TW
昇達科(3491.TW),200000,0.81,3491.TW
臻鼎-KY(4958.TW),579000,0.81,4958.TW
大立光(3008.TW),40000,0.76,3008.TW
環球晶(6488.TW),228000,0.6,6488.TW
萬潤(6187.TW),160000,0.59,6187.TW
一詮(2486.TW),837000,0.58,2486.TW
高力(8996.TW),152000,0.57,8996.TW
台化(1326.TW),2500000,0.5,1326.TW
華邦電(2344.TW),973000,0.49,2344.TW
景碩(3189.TW),208000,0.47,3189.TW
聯鈞(3450.TW),315000,0.45,3450.TW
聯亞(3081.TW),52000,0.41,3081.TW
大量(3167.TW),150000,0.37,3167.TW
兆豐金(2886.TW),2500000,0.35,2886.TW
金居(8358.TW),235000,0.34,8358.TW
愛普*(6531.TW),110000,0.3,6531.TW
富世達(6805.TW),44000,0.28,6805.TW
穩懋(3105.TW),216000,0.28,3105.TW
南亞(1303.TW),395000,0.26,1303.TW
全新(2455.TW),155000,0.23,2455.TW
研華(2395.TW),121000,0.22,2395.TW
威剛(3260.TW),180000,0.21,3260.TW
啟碁(6285.TW),323000,0.21,6285.TW
勤誠(8210.TW),71000,0.18,8210.TW
弘塑(3131.TW),24000,0.17,3131.TW
辛耘(3583.TW),78000,0.16,3583.TW
聯茂(6213.TW),110000,0.16,6213.TW
亞翔(6139.TW),72000,0.15,6139.TW
南茂(8150.TW),455000,0.12,8150.TW
宜鼎(5289.TW),26517,0.1,5289.TW
帆宣(6196.TW),60000,0.09,6196.TW
茂達(6138.TW),80000,0.06,6138.TW
立隆電(2472.TW),106000,0.06,2472.TW
臺指選擇權,-1200,-5.49,
臺指選擇權第二週週五到期契約,-2800,-13.99,
