個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),475000,11.99,2330.TW
聯發科(2454.TW),164000,5.97,2454.TW
台光電(2383.TW),110000,5.27,2383.TW
旺矽(6223.TW),83000,4.93,6223.TW
智邦(2345.TW),211000,4.81,2345.TW
奇鋐(3017.TW),184000,4.28,3017.TW
欣興(3037.TW),502000,4.1,3037.TW
國巨*(2327.TW),592000,4.06,2327.TW
緯穎(6669.TW),66000,3.37,6669.TW
日月光投控(3711.TW),490000,3.19,3711.TW
聯電(2303.TW),2223000,3.15,2303.TW
台達電(2308.TW),165000,3.07,2308.TW
川湖(2059.TW),36000,3.04,2059.TW
聖暉*(5536.TW),235000,2.92,5536.TW
華邦電(2344.TW),1554000,2.56,2344.TW
貿聯-KY(3665.TW),128000,2.54,3665.TW
台燿(6274.TW),205000,2.51,6274.TW
南電(8046.TW),194000,2.34,8046.TW
穎崴(6515.TW),34000,2.24,6515.TW
景碩(3189.TW),282000,2.09,3189.TW
信驊(5274.TW),14600,2.05,5274.TW
金像電(2368.TW),187000,1.89,2368.TW
南亞科(2408.TW),313000,1.3,2408.TW
元大金(2885.TW),1447000,0.99,2885.TW
凱基金(2883.TW),2906000,0.94,2883.TW
藥華藥(6446.TW),63228,0.81,6446.TW
永豐金(2890.TW),1822000,0.79,2890.TW
寶雅(5904.TW),98000,0.65,5904.TW
中信金(2891.TW),864000,0.58,2891.TW
富邦金(2881.TW),418000,0.56,2881.TW
聯強(2347.TW),610000,0.56,2347.TW
帆宣(6196.TW),98000,0.55,6196.TW
遠傳(4904.TW),395000,0.45,4904.TW
長榮航(2618.TW),990000,0.44,2618.TW
大聯大(3702.TW),367000,0.43,3702.TW
臻鼎-KY(4958.TW),80000,0.42,4958.TW
聯茂(6213.TW),112000,0.39,6213.TW
宜鼎(5289.TW),29000,0.38,5289.TW
尖點(8021.TW),86000,0.38,8021.TW
南茂(8150.TW),327000,0.37,8150.TW
矽格(6257.TW),156000,0.36,6257.TW
晶技(3042.TW),211000,0.36,3042.TW
群創(3481.TW),596000,0.33,3481.TW
立隆電(2472.TW),111000,0.32,2472.TW
亞德客-KY(1590.TW),21000,0.31,1590.TW
欣銓(3264.TW),144000,0.31,3264.TW
信邦(3023.TW),93000,0.31,3023.TW
南亞(1303.TW),136000,0.28,1303.TW
研華(2395.TW),48000,0.27,2395.TW
鴻勁(7769.TW),3000,0.2,7769.TW
