個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),279000,5.76,2330.TW
台光電(2383.TW),89000,4.28,2383.TW
川湖(2059.TW),32000,3.93,2059.TW
大聯大(3702.TW),4053000,3.84,3702.TW
健策(3653.TW),77000,3.45,3653.TW
聯發科(2454.TW),96000,3.09,2454.TW
神達(3706.TW),3428000,2.7,3706.TW
鴻勁(7769.TW),50000,2.67,7769.TW
台達電(2308.TW),175000,2.57,2308.TW
超豐(2441.TW),2460000,2.43,2441.TW
兆豐金(2886.TW),5964000,2.41,2886.TW
緯穎(6669.TW),40000,2.22,6669.TW
聯亞(3081.TW),84700,2.16,3081.TW
欣興(3037.TW),227000,2.14,3037.TW
南亞科(2408.TW),479000,2.1,2408.TW
第一金(2892.TW),7045000,2.05,2892.TW
旺矽(6223.TW),40000,1.93,6223.TW
華碩(2357.TW),238000,1.89,2357.TW
金像電(2368.TW),219000,1.83,2368.TW
穎崴(6515.TW),33000,1.78,6515.TW
裕融(9941.TW),2371000,1.77,9941.TW
華南金(2880.TW),5156388,1.77,2880.TW
智邦(2345.TW),101000,1.76,2345.TW
廣達(2382.TW),598500,1.69,2382.TW
長虹(5534.TW),2382000,1.54,5534.TW
台新新光金(2887.TW),4752360,1.52,2887.TW
富世達(6805.TW),95000,1.51,6805.TW
研華(2395.TW),251000,1.45,2395.TW
奇鋐(3017.TW),56000,1.42,3017.TW
元大金(2885.TW),2615040,1.4,2885.TW
王品(2727.TW),582000,1.19,2727.TW
信驊(5274.TW),9000,1.19,5274.TW
致茂(2360.TW),70000,1.18,2360.TW
貿聯-KY(3665.TW),65000,1.16,3665.TW
禾伸堂(3026.TW),213000,1.15,3026.TW
億光(2393.TW),2056000,1.15,2393.TW
永豐金(2890.TW),3202780,1.08,2890.TW
玉山金(2884.TW),3184000,1.07,2884.TW
創見(2451.TW),393000,1.01,2451.TW
台耀(4746.TW),2276000,0.96,4746.TW
台燿(6274.TW),75000,0.96,6274.TW
高技(5439.TW),428000,0.89,5439.TW
鈊象(3293.TW),144000,0.88,3293.TW
大中(6435.TW),371000,0.83,6435.TW
大立光(3008.TW),16000,0.79,3008.TW
崇越(5434.TW),160000,0.72,5434.TW
宏全(9939.TW),620000,0.71,9939.TW
潤泰新(9945.TW),2775000,0.69,9945.TW
茂達(6138.TW),284000,0.69,6138.TW
寶雅*(5904.TW),1077000,0.69,5904.TW
勤誠(8210.TW),78000,0.65,8210.TW
原相(3227.TW),361000,0.6,3227.TW
遠傳(4904.TW),650000,0.57,4904.TW
世紀鋼(9958.TW),685000,0.56,9958.TW
日電貿(3090.TW),363000,0.52,3090.TW
日月光投控(3711.TW),98000,0.5,3711.TW
新普(6121.TW),146000,0.5,6121.TW
智伸科(4551.TW),313000,0.42,4551.TW
長榮航(2618.TW),956000,0.35,2618.TW
