個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),663000,8.46,2330.TW
聯發科(2454.TW),279000,5.92,2454.TW
川湖(2059.TW),91000,4.57,2059.TW
台光電(2383.TW),152000,4.23,2383.TW
台達電(2308.TW),404000,3.54,2308.TW
欣興(3037.TW),563000,2.89,3037.TW
聯亞(3081.TW),237600,2.72,3081.TW
鴻勁(7769.TW),73000,2.53,7769.TW
旺矽(6223.TW),76000,2.52,6223.TW
南亞科(2408.TW),1039000,2.45,2408.TW
南亞(1303.TW),2416000,2.27,1303.TW
鴻海(2317.TW),1569000,2.15,2317.TW
群聯(8299.TW),218000,2.13,8299.TW
穎崴(6515.TW),55000,2.01,6515.TW
金像電(2368.TW),393000,1.96,2368.TW
奇鋐(3017.TW),134000,1.94,3017.TW
智邦(2345.TW),147000,1.86,2345.TW
緯穎(6669.TW),52000,1.7,6669.TW
廣達(2382.TW),987000,1.59,2382.TW
健策(3653.TW),69000,1.59,3653.TW
信驊(5274.TW),18300,1.56,5274.TW
致茂(2360.TW),148000,1.48,2360.TW
台燿(6274.TW),187000,1.46,6274.TW
創意(3443.TW),59000,1.37,3443.TW
文曄(3036.TW),1147000,1.37,3036.TW
中信金(2891.TW),3711000,1.3,2891.TW
技嘉(2376.TW),694000,1.26,2376.TW
日月光投控(3711.TW),400000,1.26,3711.TW
寶雅(5904.TW),312450,1.19,5904.TW
南電(8046.TW),203000,1.14,8046.TW
緯創(3231.TW),1041000,1.07,3231.TW
國巨*(2327.TW),345000,1.06,2327.TW
鈊象(3293.TW),252000,1.04,3293.TW
華邦電(2344.TW),1153000,1.03,2344.TW
高力(8996.TW),181000,0.99,8996.TW
力旺(3529.TW),65000,0.91,3529.TW
玉山金(2884.TW),4362622,0.88,2884.TW
大立光(3008.TW),36000,0.87,3008.TW
聯茂(6213.TW),482000,0.87,6213.TW
臻鼎-KY(4958.TW),335000,0.87,4958.TW
勤誠(8210.TW),139000,0.86,8210.TW
景碩(3189.TW),185000,0.81,3189.TW
健鼎(3044.TW),345000,0.73,3044.TW
欣銓(3264.TW),650000,0.7,3264.TW
邁科(6831.TW),182000,0.58,6831.TW
富世達(6805.TW),54000,0.46,6805.TW
貿聯-KY(3665.TW),32336,0.4,3665.TW
禾伸堂(3026.TW),134000,0.39,3026.TW
光聖(6442.TW),38000,0.28,6442.TW
嘉澤(3533.TW),13000,0.13,3533.TW
